CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR646,BMW,Compact,E-7428,2024-04-25,2025-04-25
CAR347,Mercedes,Sports,A-9758,2023-10-06,2024-10-05
CAR340,Honda,SUV,E-3709,2022-12-23,2023-12-23
CAR390,Audi,Luxury,D-1037,2023-12-31,2024-12-30
CAR703,Toyota,Sports,D-9949,2023-05-14,2024-05-13
CAR408,Audi,Sports,C-2721,2023-05-11,2024-05-10
CAR567,Honda,Luxury,C-9667,2023-05-01,2024-04-30
CAR562,Nissan,Sports,E-2206,2022-11-22,2023-11-22
CAR200,Mercedes,Compact,F-6512,2022-12-05,2023-12-05
CAR350,Toyota,Luxury,B-5996,2023-07-22,2024-07-21
CAR965,BMW,Luxury,C-2890,2023-04-29,2024-04-28
CAR312,Toyota,Sedan,E-7309,2023-01-19,2024-01-19
CAR218,Toyota,SUV,B-5691,2024-01-13,2025-01-12
CAR472,Mercedes,Luxury,B-6328,2024-09-08,2025-09-08
CAR279,Mercedes,Sports,B-4910,2023-09-30,2024-09-29
CAR888,Toyota,SUV,F-3019,2024-10-08,2025-10-08
CAR208,Mercedes,SUV,C-8739,2023-12-03,2024-12-02
CAR751,Mercedes,Sedan,A-5643,2024-10-31,2025-10-31
CAR885,Mercedes,Compact,C-3563,2023-03-13,2024-03-12
CAR173,Mercedes,Compact,E-8905,2023-01-31,2024-01-31
CAR409,Nissan,Compact,C-7106,2023-10-13,2024-10-12
CAR544,Toyota,Sports,A-8382,2023-08-08,2024-08-07
CAR220,Honda,SUV,C-3844,2024-09-03,2025-09-03
CAR140,Audi,Compact,E-8637,2024-05-20,2025-05-20
CAR592,Mercedes,SUV,E-8792,2023-07-12,2024-07-11
CAR118,Honda,SUV,B-3763,2024-09-03,2025-09-03
CAR510,Toyota,Sedan,F-7208,2023-10-20,2024-10-19
CAR419,Honda,SUV,C-2772,2023-05-17,2024-05-16
CAR454,BMW,SUV,F-2329,2023-02-13,2024-02-13
CAR960,Mercedes,SUV,E-7184,2023-03-30,2024-03-29
CAR759,Honda,Sedan,B-6473,2023-10-12,2024-10-11
CAR670,BMW,Sports,F-8148,2023-10-08,2024-10-07
CAR348,Nissan,Compact,C-1318,2023-09-24,2024-09-23
CAR904,Nissan,Compact,F-4953,2023-11-05,2024-11-04
