CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR747,BMW,Sedan,D-3897,2022-12-26,2023-12-26
CAR910,Nissan,Sports,A-3905,2024-02-23,2025-02-22
CAR848,Honda,Sedan,D-2795,2023-10-20,2024-10-19
CAR324,Audi,SUV,E-9172,2023-02-17,2024-02-17
CAR441,Toyota,Luxury,B-8520,2023-09-20,2024-09-19
CAR239,Honda,Compact,F-1636,2024-08-11,2025-08-11
CAR129,Toyota,SUV,C-3244,2024-05-25,2025-05-25
CAR270,Audi,Luxury,F-7047,2023-02-06,2024-02-06
CAR654,Honda,Sports,B-9441,2024-01-19,2025-01-18
CAR858,Nissan,Luxury,A-3919,2024-03-08,2025-03-08
CAR663,BMW,Compact,A-4624,2023-09-27,2024-09-26
CAR276,Nissan,SUV,A-6356,2024-10-17,2025-10-17
CAR524,Nissan,Sedan,A-5654,2023-04-08,2024-04-07
CAR208,Audi,Sedan,A-7846,2023-01-02,2024-01-02
CAR864,Mercedes,Sedan,D-3985,2023-10-22,2024-10-21
CAR934,Toyota,Sedan,E-3962,2023-02-26,2024-02-26
CAR263,Honda,Compact,A-3966,2024-01-24,2025-01-23
CAR826,Mercedes,SUV,B-2845,2024-03-19,2025-03-19
CAR561,Toyota,Sedan,E-1268,2022-12-21,2023-12-21
CAR218,Honda,Sports,F-4954,2023-09-09,2024-09-08
CAR939,BMW,SUV,D-4256,2024-06-16,2025-06-16
CAR172,Honda,Compact,C-2245,2023-12-22,2024-12-21
CAR658,Toyota,Sports,B-5378,2022-12-08,2023-12-08
CAR219,Mercedes,Sports,C-9186,2023-02-01,2024-02-01
CAR162,BMW,Luxury,D-5516,2023-01-25,2024-01-25
CAR966,Toyota,Sports,F-3144,2022-12-03,2023-12-03
CAR291,Honda,Sports,B-5626,2024-10-07,2025-10-07
CAR988,BMW,SUV,B-4088,2023-06-20,2024-06-19
CAR368,Mercedes,Sedan,F-9494,2024-02-26,2025-02-25
CAR677,Honda,Sedan,D-8415,2024-05-29,2025-05-29
CAR172,Nissan,Luxury,E-1020,2024-08-10,2025-08-10
CAR561,Mercedes,Compact,C-6353,2023-04-16,2024-04-15
CAR426,Honda,Sports,F-2003,2024-06-03,2025-06-03
CAR991,Audi,Sports,B-2277,2023-08-15,2024-08-14
CAR926,Audi,Sports,A-5447,2023-03-05,2024-03-04
CAR474,Toyota,Compact,B-5795,2024-06-02,2025-06-02
CAR480,BMW,Compact,D-5760,2024-04-23,2025-04-23
CAR967,Toyota,Sports,A-5242,2024-02-03,2025-02-02
CAR126,Audi,Sports,D-1442,2023-01-20,2024-01-20
CAR649,Honda,Sedan,C-8573,2023-06-28,2024-06-27
CAR929,BMW,Sedan,E-7906,2023-12-25,2024-12-24
CAR509,Toyota,SUV,C-3328,2022-12-03,2023-12-03
CAR842,Toyota,SUV,C-6014,2024-01-22,2025-01-21
CAR768,Mercedes,SUV,A-3230,2024-07-02,2025-07-02
CAR834,BMW,Sports,C-2515,2023-02-08,2024-02-08
CAR287,Honda,SUV,B-1912,2024-02-26,2025-02-25
CAR163,Toyota,Compact,E-7823,2023-10-21,2024-10-20
CAR823,BMW,SUV,D-5827,2024-03-14,2025-03-14
CAR775,Toyota,SUV,C-7366,2023-04-07,2024-04-06
CAR629,Honda,Luxury,A-8629,2023-11-26,2024-11-25
