CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR162,Toyota,SUV,C-8442,2023-10-08,2024-10-07
CAR541,Mercedes,Sports,D-5246,2023-02-23,2024-02-23
CAR494,Nissan,Luxury,B-6902,2024-05-15,2025-05-15
CAR270,Mercedes,SUV,C-9535,2024-03-20,2025-03-20
CAR286,Mercedes,Luxury,B-3569,2024-07-04,2025-07-04
CAR500,Honda,Sedan,B-7221,2024-09-09,2025-09-09
CAR404,Mercedes,Luxury,F-9112,2023-12-20,2024-12-19
CAR187,Honda,Compact,A-5266,2024-04-14,2025-04-14
CAR653,Nissan,Sports,A-4095,2024-03-29,2025-03-29
CAR321,Mercedes,SUV,E-6214,2024-01-11,2025-01-10
CAR192,Audi,Luxury,E-7352,2024-06-14,2025-06-14
CAR919,Mercedes,Sedan,A-6604,2023-01-10,2024-01-10
CAR547,Audi,Luxury,F-5363,2024-04-03,2025-04-03
CAR877,Nissan,SUV,C-6575,2023-10-29,2024-10-28
CAR634,Nissan,Luxury,C-4195,2023-07-29,2024-07-28
CAR264,Mercedes,Luxury,E-6188,2024-02-20,2025-02-19
CAR484,Toyota,Compact,B-5235,2022-12-16,2023-12-16
CAR748,Audi,Luxury,C-4984,2023-04-19,2024-04-18
CAR954,Mercedes,Sports,B-4698,2024-09-15,2025-09-15
CAR360,Honda,Sports,C-4115,2023-12-30,2024-12-29
CAR995,Audi,SUV,E-6665,2022-12-06,2023-12-06
CAR527,BMW,Sports,D-4924,2024-06-11,2025-06-11
CAR170,BMW,Sedan,B-9888,2023-04-13,2024-04-12
CAR713,Audi,SUV,D-7598,2024-07-20,2025-07-20
CAR446,Mercedes,Compact,B-4058,2023-08-04,2024-08-03
CAR592,Nissan,SUV,F-9168,2023-12-16,2024-12-15
CAR990,Audi,Compact,B-9273,2023-06-10,2024-06-09
CAR585,BMW,Sports,E-5248,2023-06-20,2024-06-19
CAR343,Nissan,Sports,C-4902,2023-05-28,2024-05-27
CAR391,Toyota,Luxury,C-1949,2023-02-15,2024-02-15
CAR502,BMW,Luxury,F-5626,2024-02-26,2025-02-25
CAR950,Audi,Compact,D-7074,2023-03-06,2024-03-05
CAR554,Nissan,Luxury,C-7451,2022-11-27,2023-11-27
CAR445,Toyota,Sports,B-4847,2022-11-28,2023-11-28
CAR156,Nissan,Compact,C-4003,2023-08-21,2024-08-20
CAR859,Toyota,Compact,C-6761,2023-03-02,2024-03-01
CAR494,Nissan,Luxury,E-4116,2024-10-28,2025-10-28
CAR107,Honda,Sedan,F-7827,2024-01-10,2025-01-09
CAR504,Honda,Sports,E-7357,2024-02-24,2025-02-23
CAR915,Mercedes,Sedan,E-8544,2024-07-31,2025-07-31
CAR816,Nissan,Compact,D-3884,2023-10-18,2024-10-17
CAR765,BMW,SUV,B-4234,2024-01-27,2025-01-26
CAR564,Toyota,Compact,B-1331,2023-11-04,2024-11-03
CAR911,Honda,Sedan,A-8115,2023-08-25,2024-08-24
CAR851,Nissan,Sedan,B-8645,2024-02-03,2025-02-02
CAR593,Honda,Sedan,D-1207,2023-01-14,2024-01-14
CAR516,Audi,Luxury,B-7617,2023-05-18,2024-05-17
CAR414,BMW,Luxury,E-3806,2024-08-03,2025-08-03
CAR568,Audi,Sports,A-3038,2023-02-18,2024-02-18
CAR387,Honda,SUV,E-8679,2022-11-11,2023-11-11
CAR643,Honda,SUV,B-3748,2022-11-14,2023-11-14
CAR804,Honda,Sedan,B-2385,2024-02-05,2025-02-04
CAR986,Audi,Luxury,A-9669,2024-07-16,2025-07-16
CAR504,Honda,Luxury,D-2093,2024-04-23,2025-04-23
CAR652,Audi,SUV,B-4757,2023-09-14,2024-09-13
