CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR551,Audi,SUV,A-8792,2024-04-12,2025-04-12
CAR920,Audi,Sports,F-5723,2024-08-25,2025-08-25
CAR457,BMW,Compact,C-8485,2023-11-01,2024-10-31
CAR505,Mercedes,Compact,D-8201,2024-06-29,2025-06-29
CAR470,Nissan,Sedan,D-9709,2022-12-18,2023-12-18
CAR838,Audi,Compact,D-1286,2024-11-06,2025-11-06
CAR131,Honda,Compact,F-2570,2024-06-25,2025-06-25
CAR917,Nissan,SUV,C-9645,2024-06-15,2025-06-15
CAR319,Audi,Luxury,A-7909,2023-02-24,2024-02-24
CAR669,Mercedes,Sedan,B-8961,2023-07-28,2024-07-27
CAR944,Nissan,Luxury,B-5611,2024-09-13,2025-09-13
CAR795,Mercedes,Sports,F-4835,2023-12-15,2024-12-14
CAR750,Nissan,Luxury,C-2325,2023-03-20,2024-03-19
CAR432,BMW,Luxury,B-2276,2023-12-07,2024-12-06
CAR455,Nissan,Compact,E-3647,2023-04-10,2024-04-09
CAR738,Mercedes,Compact,F-2227,2023-03-07,2024-03-06
CAR311,Audi,Luxury,B-8168,2023-10-14,2024-10-13
CAR179,Audi,Compact,B-7340,2024-05-15,2025-05-15
CAR698,Honda,SUV,D-4431,2022-12-01,2023-12-01
CAR751,Toyota,SUV,D-8650,2023-08-07,2024-08-06
CAR268,Audi,SUV,D-5521,2022-12-02,2023-12-02
CAR730,Honda,Sedan,A-2093,2024-10-05,2025-10-05
CAR795,BMW,Compact,E-5738,2024-02-15,2025-02-14
CAR995,Nissan,Compact,A-3015,2023-03-21,2024-03-20
CAR588,Nissan,Luxury,A-2466,2024-09-29,2025-09-29
CAR878,Nissan,SUV,C-2095,2023-12-04,2024-12-03
CAR762,Honda,Sports,D-4503,2023-10-29,2024-10-28
CAR166,BMW,Compact,E-3466,2024-02-20,2025-02-19
CAR264,Mercedes,Luxury,D-1265,2024-09-12,2025-09-12
CAR364,Nissan,Compact,C-5575,2023-07-08,2024-07-07
CAR711,Mercedes,Sports,E-5455,2023-03-12,2024-03-11
CAR431,Mercedes,Sports,A-2480,2024-10-26,2025-10-26
CAR914,Mercedes,Compact,E-6246,2024-10-04,2025-10-04
CAR696,Mercedes,SUV,A-7384,2023-12-26,2024-12-25
CAR709,Toyota,SUV,C-6650,2024-06-20,2025-06-20
CAR332,Mercedes,SUV,C-2346,2022-12-31,2023-12-31
CAR213,Toyota,Luxury,D-5471,2023-12-05,2024-12-04
CAR274,Audi,SUV,F-6052,2024-05-19,2025-05-19
CAR718,Audi,SUV,B-8981,2023-09-05,2024-09-04
CAR215,BMW,Sports,A-2674,2023-05-30,2024-05-29
CAR396,Nissan,Sports,A-2660,2023-01-06,2024-01-06
CAR427,BMW,Sedan,F-1320,2023-01-26,2024-01-26
CAR337,Toyota,SUV,D-5817,2024-09-23,2025-09-23
CAR567,BMW,Compact,D-9751,2024-09-29,2025-09-29
CAR709,Audi,Sports,C-3435,2022-11-22,2023-11-22
CAR959,Nissan,Sports,F-2697,2023-02-26,2024-02-26
CAR554,Honda,Luxury,E-4497,2024-06-20,2025-06-20
CAR387,Toyota,Sports,C-5421,2024-09-09,2025-09-09
CAR552,BMW,Sedan,A-4514,2024-08-15,2025-08-15
CAR986,Nissan,Sports,B-8171,2022-11-13,2023-11-13
CAR960,Audi,Compact,E-5470,2023-06-29,2024-06-28
CAR371,BMW,Compact,F-5374,2023-08-19,2024-08-18
CAR312,Nissan,Sedan,A-5560,2023-10-23,2024-10-22
CAR541,Nissan,Sports,E-5282,2023-08-19,2024-08-18
CAR611,Honda,Sedan,D-3327,2023-08-25,2024-08-24
CAR107,Toyota,Compact,F-9875,2023-06-12,2024-06-11
CAR422,Audi,Sports,D-9792,2023-10-25,2024-10-24
CAR338,BMW,Sedan,B-8036,2024-07-21,2025-07-21
CAR879,Mercedes,SUV,E-3083,2023-08-12,2024-08-11
CAR924,Mercedes,SUV,C-5881,2023-06-03,2024-06-02
CAR118,Mercedes,Luxury,D-1482,2023-05-11,2024-05-10
CAR701,Honda,Sports,D-5049,2024-07-12,2025-07-12
CAR450,Nissan,Luxury,B-7625,2022-12-31,2023-12-31
CAR164,Mercedes,Luxury,D-3538,2024-07-23,2025-07-23
CAR964,BMW,Sports,D-2626,2024-06-04,2025-06-04
CAR187,Nissan,SUV,A-3872,2024-04-28,2025-04-28
CAR715,Toyota,SUV,D-5554,2023-11-25,2024-11-24
CAR738,BMW,Sedan,B-2329,2022-12-18,2023-12-18
CAR595,Nissan,Compact,E-8167,2023-10-09,2024-10-08
CAR626,Nissan,SUV,E-9436,2023-10-21,2024-10-20
CAR778,Mercedes,Sedan,A-7927,2023-05-14,2024-05-13
CAR158,Honda,Sports,A-1754,2023-07-12,2024-07-11
CAR401,Mercedes,SUV,C-9601,2023-01-02,2024-01-02
CAR614,Nissan,Sedan,B-1111,2023-05-09,2024-05-08
CAR242,Audi,Sports,A-6470,2024-04-25,2025-04-25
CAR752,Toyota,Sports,C-4247,2023-09-16,2024-09-15
CAR859,BMW,Sports,D-3749,2024-06-18,2025-06-18
CAR841,Toyota,Sports,C-1062,2022-11-26,2023-11-26
CAR708,Audi,Luxury,C-6301,2023-11-03,2024-11-02
CAR900,Audi,Sedan,A-3405,2023-03-10,2024-03-09
CAR455,Audi,SUV,D-5601,2024-04-20,2025-04-20
CAR532,BMW,Sports,F-6831,2023-12-09,2024-12-08
CAR666,Nissan,Sports,E-6235,2023-05-04,2024-05-03
CAR179,Toyota,Sports,F-4391,2023-11-14,2024-11-13
CAR733,Nissan,Compact,E-6058,2023-02-25,2024-02-25
CAR129,Audi,Sports,B-2243,2023-07-19,2024-07-18
CAR548,Toyota,Luxury,E-1965,2023-01-18,2024-01-18
CAR791,Toyota,Sedan,B-9601,2022-11-27,2023-11-27
CAR402,Honda,Sports,A-8551,2022-12-15,2023-12-15
CAR686,BMW,SUV,F-1075,2023-01-08,2024-01-08
CAR560,Nissan,Sedan,C-7139,2023-10-24,2024-10-23
CAR294,Audi,Sedan,D-2104,2023-01-31,2024-01-31
CAR472,Honda,Compact,A-1182,2024-10-26,2025-10-26
CAR515,Toyota,SUV,D-5256,2023-11-01,2024-10-31
CAR582,Toyota,Luxury,B-2523,2023-02-14,2024-02-14
CAR383,Honda,Sports,D-9746,2023-03-25,2024-03-24
CAR346,Honda,Sports,C-6039,2023-10-14,2024-10-13
CAR403,Mercedes,SUV,D-2992,2022-12-31,2023-12-31
CAR381,BMW,Compact,E-9934,2024-02-22,2025-02-21
CAR282,BMW,Compact,A-8081,2022-11-21,2023-11-21
CAR726,Audi,Sedan,C-9580,2024-07-26,2025-07-26
CAR560,Mercedes,Sedan,B-8431,2023-04-16,2024-04-15
CAR551,Audi,Luxury,E-3162,2024-03-28,2025-03-28
CAR634,Mercedes,Luxury,A-1020,2024-09-02,2025-09-02
CAR453,BMW,SUV,D-6608,2023-10-03,2024-10-02
CAR378,Mercedes,Luxury,C-8685,2023-06-21,2024-06-20
CAR360,Audi,Sedan,B-5905,2023-03-21,2024-03-20
CAR457,Toyota,Compact,D-9728,2023-04-26,2024-04-25
CAR759,Audi,Luxury,E-1042,2024-02-10,2025-02-09
CAR713,Audi,SUV,B-1176,2024-03-16,2025-03-16
CAR471,Nissan,Compact,C-4225,2023-05-30,2024-05-29
CAR270,BMW,SUV,E-6669,2024-01-02,2025-01-01
CAR792,Mercedes,Compact,A-7643,2024-01-05,2025-01-04
CAR282,Mercedes,SUV,A-2730,2024-04-19,2025-04-19
CAR645,Mercedes,Sedan,A-1655,2023-01-30,2024-01-30
CAR557,Honda,SUV,E-6556,2024-09-04,2025-09-04
CAR492,Honda,SUV,B-3879,2023-12-02,2024-12-01
CAR388,Toyota,Sedan,A-2911,2023-08-28,2024-08-27
CAR820,Audi,Sports,C-3324,2022-12-06,2023-12-06
CAR852,BMW,Sedan,A-4618,2023-06-04,2024-06-03
CAR714,BMW,Luxury,E-6873,2023-01-07,2024-01-07
CAR413,Audi,Compact,E-5973,2023-08-14,2024-08-13
CAR333,Honda,Sports,C-9308,2023-05-21,2024-05-20
CAR506,Mercedes,Sports,D-9037,2023-07-05,2024-07-04
CAR974,Audi,Luxury,B-6709,2024-10-07,2025-10-07
CAR717,Honda,Luxury,F-1929,2023-05-06,2024-05-05
CAR454,Audi,Sedan,D-9260,2024-04-11,2025-04-11
CAR526,Toyota,Sports,B-4371,2023-11-09,2024-11-08
CAR547,BMW,Sports,D-5838,2023-03-03,2024-03-02
CAR578,Audi,Luxury,C-7218,2024-08-03,2025-08-03
CAR486,Toyota,Sedan,E-9327,2023-03-21,2024-03-20
CAR698,Honda,SUV,A-6191,2022-11-22,2023-11-22
CAR211,BMW,Luxury,A-4303,2024-03-02,2025-03-02
CAR152,Honda,Luxury,F-2786,2024-01-29,2025-01-28
CAR921,Toyota,Sedan,D-1771,2024-05-03,2025-05-03
CAR997,Toyota,Compact,A-3455,2023-08-08,2024-08-07
CAR975,Honda,Compact,F-2999,2024-09-04,2025-09-04
CAR902,Nissan,Sports,D-2911,2023-06-14,2024-06-13
CAR798,Audi,Sports,E-6567,2024-08-12,2025-08-12
CAR810,Mercedes,SUV,D-5136,2024-05-10,2025-05-10
CAR214,Honda,Sports,F-3667,2023-07-05,2024-07-04
CAR430,BMW,Sedan,B-1497,2024-09-08,2025-09-08
CAR912,Nissan,SUV,C-1917,2024-06-02,2025-06-02
CAR521,Audi,Sedan,C-1856,2024-09-25,2025-09-25
CAR158,BMW,Luxury,D-2490,2022-11-10,2023-11-10
CAR111,Toyota,Sedan,D-3086,2023-08-06,2024-08-05
CAR765,Toyota,Sedan,A-1327,2023-02-21,2024-02-21
CAR888,BMW,Sports,F-1377,2023-04-14,2024-04-13
CAR746,Mercedes,Compact,B-3045,2024-07-02,2025-07-02
CAR289,BMW,Luxury,F-3700,2024-02-03,2025-02-02
CAR998,BMW,Compact,B-9255,2024-03-17,2025-03-17
CAR687,Nissan,Sedan,D-9827,2023-10-06,2024-10-05
CAR505,Toyota,Sports,D-5674,2024-01-13,2025-01-12
CAR686,Nissan,SUV,F-2303,2023-12-14,2024-12-13
CAR280,BMW,Compact,A-6488,2024-06-23,2025-06-23
CAR593,Toyota,Luxury,E-8267,2024-06-21,2025-06-21
CAR325,Nissan,SUV,B-6427,2023-11-21,2024-11-20
CAR782,BMW,Luxury,A-2882,2024-07-02,2025-07-02
CAR826,Nissan,SUV,D-1063,2022-12-05,2023-12-05
CAR733,Toyota,Luxury,B-9059,2023-07-01,2024-06-30
CAR908,Toyota,Sports,F-9704,2023-06-21,2024-06-20
CAR339,Toyota,Luxury,B-3326,2022-12-31,2023-12-31
CAR548,BMW,Sedan,D-9179,2023-06-25,2024-06-24
CAR529,Audi,Sedan,E-3777,2024-10-16,2025-10-16
CAR611,Toyota,Compact,D-2974,2024-03-08,2025-03-08
CAR374,Honda,Sedan,C-1024,2024-03-31,2025-03-31
CAR387,Nissan,SUV,C-2800,2024-07-24,2025-07-24
CAR349,BMW,Compact,B-6920,2023-10-08,2024-10-07
CAR458,Toyota,Compact,C-6947,2024-07-07,2025-07-07
CAR723,Toyota,SUV,E-1822,2023-10-29,2024-10-28
CAR994,Honda,Luxury,D-2074,2023-12-05,2024-12-04
CAR773,Honda,Sedan,C-2119,2024-07-16,2025-07-16
CAR493,Nissan,Compact,F-8339,2024-01-02,2025-01-01
CAR436,Nissan,Luxury,E-1530,2024-09-14,2025-09-14
CAR227,Mercedes,Sports,E-5750,2024-08-24,2025-08-24
CAR500,Audi,Luxury,C-6591,2023-11-18,2024-11-17
CAR680,Audi,SUV,B-6283,2023-11-26,2024-11-25
CAR690,Honda,Luxury,A-2839,2024-09-19,2025-09-19
CAR808,Mercedes,Sports,B-1125,2023-12-15,2024-12-14
CAR497,Audi,Sedan,E-7509,2024-02-19,2025-02-18
CAR392,Mercedes,SUV,D-4942,2022-12-05,2023-12-05
CAR983,BMW,SUV,E-9331,2023-06-21,2024-06-20
CAR123,Mercedes,Luxury,C-8946,2023-05-07,2024-05-06
CAR114,Nissan,Compact,B-3159,2024-08-30,2025-08-30
CAR277,Toyota,Luxury,D-6368,2023-04-20,2024-04-19
CAR795,Audi,Luxury,E-4480,2024-10-10,2025-10-10
CAR987,Honda,Luxury,E-6594,2023-02-23,2024-02-23
CAR292,Honda,Sports,F-9948,2022-12-20,2023-12-20
CAR897,BMW,Luxury,E-7449,2024-06-12,2025-06-12
CAR610,Toyota,Sports,B-9050,2023-04-10,2024-04-09
CAR848,BMW,Sports,A-3704,2024-06-12,2025-06-12
CAR631,Honda,Sports,A-6204,2023-04-11,2024-04-10
CAR100,Mercedes,SUV,E-7491,2023-04-13,2024-04-12
CAR476,Toyota,Compact,E-7444,2024-04-30,2025-04-30
CAR267,BMW,Sedan,A-1372,2024-04-18,2025-04-18
CAR324,Honda,SUV,F-4860,2023-01-08,2024-01-08
CAR346,BMW,SUV,B-5519,2024-04-02,2025-04-02
CAR701,Nissan,Sports,B-2409,2024-06-04,2025-06-04
CAR473,Mercedes,Luxury,E-9834,2024-11-05,2025-11-05
CAR166,Nissan,Luxury,C-7664,2024-01-03,2025-01-02
CAR630,BMW,Sedan,D-6797,2023-06-05,2024-06-04
CAR152,Toyota,Compact,D-2121,2023-09-04,2024-09-03
CAR871,Mercedes,Sedan,E-2843,2024-04-24,2025-04-24
CAR238,Toyota,Luxury,D-8185,2023-10-25,2024-10-24
CAR751,Mercedes,Luxury,E-9992,2023-03-01,2024-02-29
CAR750,Honda,Compact,E-3795,2024-02-25,2025-02-24
CAR243,Honda,Sedan,F-5582,2023-11-02,2024-11-01
CAR665,BMW,Sedan,E-9839,2023-11-06,2024-11-05
CAR123,Nissan,Sedan,F-6287,2024-02-10,2025-02-09
CAR974,Toyota,Luxury,E-1567,2023-12-08,2024-12-07
CAR497,BMW,Compact,C-3692,2023-08-04,2024-08-03
CAR999,Toyota,Sports,C-8715,2023-11-06,2024-11-05
CAR809,BMW,Luxury,A-7614,2022-12-23,2023-12-23
CAR787,Mercedes,SUV,A-6398,2024-07-07,2025-07-07
CAR797,Toyota,Luxury,E-8265,2023-03-24,2024-03-23
CAR424,Nissan,Sports,E-7604,2024-01-20,2025-01-19
CAR906,Toyota,Luxury,E-8111,2023-12-08,2024-12-07
CAR382,BMW,Luxury,C-5023,2024-02-05,2025-02-04
CAR587,Audi,SUV,A-4195,2024-08-03,2025-08-03
CAR677,Mercedes,Sports,C-5662,2023-01-25,2024-01-25
CAR846,Honda,SUV,E-1872,2023-08-21,2024-08-20
CAR284,BMW,Luxury,D-5954,2023-11-13,2024-11-12
CAR573,Nissan,SUV,E-8772,2023-07-09,2024-07-08
CAR201,BMW,SUV,D-6434,2024-02-17,2025-02-16
CAR349,Mercedes,Luxury,B-4889,2024-07-22,2025-07-22
CAR581,Toyota,Compact,A-1146,2024-02-29,2025-02-28
CAR888,Audi,Compact,D-8517,2024-08-02,2025-08-02
CAR829,Toyota,Sedan,F-1077,2024-03-28,2025-03-28
CAR770,Toyota,Compact,C-9039,2023-01-22,2024-01-22
CAR247,Honda,Sports,A-4095,2023-05-12,2024-05-11
CAR459,Audi,Luxury,C-5936,2024-02-02,2025-02-01
CAR751,Mercedes,Sports,C-8178,2023-11-04,2024-11-03
CAR907,Toyota,Sports,E-3808,2024-04-30,2025-04-30
CAR194,Nissan,Sports,C-7660,2023-07-23,2024-07-22
CAR914,Nissan,Sedan,F-9844,2023-10-24,2024-10-23
CAR744,Honda,Luxury,C-8370,2024-03-20,2025-03-20
CAR527,BMW,Sports,C-1263,2023-11-27,2024-11-26
CAR172,BMW,Luxury,B-1856,2023-12-27,2024-12-26
CAR728,Audi,Sports,C-4963,2023-12-21,2024-12-20
CAR325,Audi,Compact,F-6608,2023-12-21,2024-12-20
CAR933,Toyota,Sedan,F-4511,2024-03-29,2025-03-29
CAR843,BMW,Luxury,B-8385,2023-12-10,2024-12-09
CAR955,Nissan,Sedan,F-3298,2023-01-10,2024-01-10
CAR370,Audi,Sports,A-1109,2024-01-27,2025-01-26
CAR997,BMW,Sports,F-3877,2024-08-27,2025-08-27
CAR517,BMW,Compact,B-7432,2023-12-07,2024-12-06
CAR348,Mercedes,Sports,D-5815,2024-05-26,2025-05-26
CAR134,Nissan,Luxury,C-1535,2024-09-02,2025-09-02
CAR287,Toyota,SUV,E-1978,2024-07-02,2025-07-02
CAR852,Mercedes,Sedan,C-3558,2024-06-01,2025-06-01
CAR675,Nissan,Sedan,C-1802,2023-11-18,2024-11-17
CAR622,Nissan,Luxury,F-7091,2023-11-01,2024-10-31
CAR350,Mercedes,SUV,E-7845,2024-06-07,2025-06-07
CAR653,Honda,Sedan,D-2296,2024-08-13,2025-08-13
CAR983,Toyota,Sports,F-3540,2024-09-13,2025-09-13
CAR649,BMW,Luxury,D-5800,2023-02-13,2024-02-13
CAR701,BMW,Sports,C-8735,2023-02-13,2024-02-13
