CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR946,Nissan,Sedan,E-8876,2024-01-23,2025-01-22
CAR729,Audi,Compact,A-5886,2023-02-02,2024-02-02
CAR570,Honda,Sedan,F-8868,2023-12-01,2024-11-30
CAR163,Audi,Luxury,C-6738,2022-12-13,2023-12-13
CAR220,Nissan,Compact,C-4112,2023-12-20,2024-12-19
CAR151,BMW,Sports,C-2259,2023-10-26,2024-10-25
CAR104,Nissan,Sedan,C-5408,2024-03-04,2025-03-04
CAR478,Audi,Sports,C-3334,2023-09-30,2024-09-29
CAR888,Mercedes,Sports,D-4476,2023-03-26,2024-03-25
CAR931,Honda,Luxury,D-6067,2023-02-23,2024-02-23
CAR163,BMW,Sports,F-8912,2023-03-03,2024-03-02
CAR483,Nissan,SUV,C-1829,2024-02-18,2025-02-17
CAR573,Toyota,Sports,A-8780,2024-09-04,2025-09-04
CAR903,BMW,Sports,F-2487,2024-10-02,2025-10-02
CAR783,Toyota,Sedan,E-9567,2024-01-12,2025-01-11
CAR827,Honda,Luxury,E-6508,2023-12-20,2024-12-19
CAR177,Nissan,Luxury,E-8619,2023-03-09,2024-03-08
CAR519,Mercedes,Sedan,E-6532,2023-08-22,2024-08-21
CAR422,Audi,Compact,D-4036,2023-07-30,2024-07-29
CAR430,BMW,Luxury,D-5714,2023-11-01,2024-10-31
CAR741,BMW,Sports,E-9539,2023-02-22,2024-02-22
CAR757,Mercedes,SUV,C-7967,2022-11-08,2023-11-08
CAR324,Honda,Luxury,D-9920,2024-03-23,2025-03-23
CAR911,Toyota,Sedan,D-7313,2024-07-30,2025-07-30
CAR404,Nissan,Sedan,B-6686,2023-03-18,2024-03-17
CAR163,Audi,Luxury,F-8927,2024-10-16,2025-10-16
CAR630,BMW,Sedan,C-9273,2024-09-15,2025-09-15
CAR718,Toyota,Compact,D-2207,2023-06-22,2024-06-21
CAR444,Nissan,Sedan,D-1818,2024-04-10,2025-04-10
CAR280,Nissan,Sedan,D-4143,2024-01-11,2025-01-10
CAR869,Mercedes,Sedan,E-2760,2023-07-06,2024-07-05
CAR625,Audi,Sports,F-2586,2024-04-13,2025-04-13
CAR941,Mercedes,Sports,F-5592,2023-11-02,2024-11-01
CAR733,BMW,Luxury,E-3838,2023-03-14,2024-03-13
CAR280,Nissan,Compact,E-7558,2024-04-07,2025-04-07
CAR683,Nissan,Compact,F-3374,2024-10-16,2025-10-16
CAR510,Toyota,Sedan,F-7194,2024-04-24,2025-04-24
CAR647,Mercedes,Sports,C-7484,2023-07-07,2024-07-06
CAR868,Nissan,Sedan,A-4617,2024-05-09,2025-05-09
CAR908,Toyota,Luxury,E-5213,2023-02-19,2024-02-19
CAR424,Honda,Compact,B-2609,2023-07-30,2024-07-29
CAR104,Nissan,Compact,B-1641,2022-12-26,2023-12-26
CAR232,Toyota,Compact,F-3751,2024-05-07,2025-05-07
CAR831,Nissan,Sedan,E-1678,2023-10-18,2024-10-17
CAR537,Mercedes,Luxury,E-9760,2023-02-18,2024-02-18
CAR550,Honda,Luxury,E-7235,2024-01-24,2025-01-23
CAR185,Nissan,SUV,A-9175,2024-04-08,2025-04-08
CAR924,Mercedes,Luxury,C-4893,2024-09-24,2025-09-24
CAR256,Nissan,SUV,A-9551,2024-09-05,2025-09-05
CAR448,Mercedes,Luxury,B-5879,2023-11-03,2024-11-02
CAR219,Toyota,Sedan,E-9050,2023-02-19,2024-02-19
CAR311,Toyota,Sedan,E-9696,2024-03-20,2025-03-20
CAR199,Mercedes,Luxury,F-8495,2023-12-21,2024-12-20
CAR353,Nissan,Compact,F-3989,2024-05-13,2025-05-13
CAR618,Honda,SUV,E-2005,2024-03-23,2025-03-23
CAR215,Mercedes,Compact,B-5179,2024-01-09,2025-01-08
CAR768,Toyota,SUV,F-1218,2023-04-08,2024-04-07
CAR676,Toyota,Sports,C-5544,2024-06-27,2025-06-27
CAR504,BMW,SUV,A-6428,2024-02-21,2025-02-20
