CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR560,Nissan,SUV,F-7959,2023-06-14,2024-06-13
CAR397,Honda,Luxury,A-2929,2023-02-20,2024-02-20
CAR962,BMW,Luxury,D-7467,2023-03-25,2024-03-24
CAR566,BMW,SUV,C-4428,2024-09-04,2025-09-04
CAR394,BMW,Sedan,D-1597,2023-09-03,2024-09-02
CAR298,Toyota,Compact,B-9816,2023-08-08,2024-08-07
CAR896,BMW,Compact,F-8689,2024-09-25,2025-09-25
CAR256,Audi,Compact,B-4608,2024-04-17,2025-04-17
CAR822,BMW,Luxury,F-7210,2023-10-11,2024-10-10
CAR875,BMW,Sports,E-9633,2022-12-23,2023-12-23
CAR635,Nissan,SUV,C-3334,2024-08-09,2025-08-09
CAR879,Nissan,Sports,D-2183,2022-12-24,2023-12-24
CAR251,BMW,Compact,B-7808,2023-06-03,2024-06-02
CAR600,Honda,SUV,F-4242,2023-02-10,2024-02-10
CAR442,Mercedes,Luxury,A-1760,2024-09-19,2025-09-19
CAR634,BMW,Compact,C-3989,2022-11-14,2023-11-14
CAR126,BMW,Compact,C-1299,2023-03-02,2024-03-01
CAR381,Nissan,Luxury,D-1863,2022-12-10,2023-12-10
CAR260,Nissan,Compact,E-5936,2024-03-13,2025-03-13
CAR520,Toyota,Sedan,F-9937,2024-01-08,2025-01-07
CAR484,Mercedes,Sedan,E-6794,2024-04-06,2025-04-06
CAR116,Honda,Compact,F-3523,2023-07-18,2024-07-17
CAR662,Audi,Luxury,A-5288,2024-09-11,2025-09-11
CAR633,Nissan,Sedan,C-5148,2024-01-02,2025-01-01
CAR811,Toyota,Sports,B-1393,2022-12-15,2023-12-15
CAR286,Nissan,Sedan,A-5305,2024-01-23,2025-01-22
CAR341,Mercedes,Sedan,D-9656,2023-11-14,2024-11-13
CAR912,Toyota,Sports,E-7631,2024-10-02,2025-10-02
CAR547,Nissan,SUV,D-6993,2023-08-26,2024-08-25
CAR450,Nissan,Luxury,F-3517,2023-11-17,2024-11-16
CAR523,Honda,Sports,F-8095,2023-03-29,2024-03-28
CAR727,Nissan,Sedan,C-6734,2023-01-09,2024-01-09
CAR433,Nissan,Sports,A-5255,2023-06-09,2024-06-08
CAR764,Toyota,SUV,B-9434,2023-09-13,2024-09-12
CAR359,BMW,Sports,E-4032,2022-12-10,2023-12-10
CAR959,Mercedes,Compact,D-4059,2024-07-07,2025-07-07
CAR406,Toyota,SUV,E-2067,2024-03-23,2025-03-23
CAR262,Audi,SUV,D-2366,2024-01-02,2025-01-01
CAR166,Mercedes,Luxury,E-2552,2022-12-17,2023-12-17
CAR169,Audi,SUV,A-4973,2024-08-07,2025-08-07
CAR865,Mercedes,Sports,E-6637,2023-03-11,2024-03-10
CAR603,BMW,Luxury,D-7284,2022-12-31,2023-12-31
CAR404,Nissan,Sedan,C-1513,2023-06-25,2024-06-24
CAR459,Mercedes,Sports,A-1514,2023-08-24,2024-08-23
CAR668,Honda,Sedan,E-4659,2024-05-02,2025-05-02
CAR220,Audi,SUV,B-5227,2024-02-04,2025-02-03
CAR335,Honda,Luxury,D-5999,2024-08-15,2025-08-15
CAR805,Honda,SUV,B-4311,2023-03-15,2024-03-14
CAR579,Audi,Luxury,A-7443,2024-01-19,2025-01-18
CAR835,Mercedes,SUV,F-1705,2023-10-24,2024-10-23
CAR629,Mercedes,SUV,A-3384,2023-10-27,2024-10-26
CAR507,Toyota,Luxury,D-6503,2024-01-25,2025-01-24
CAR314,Honda,Sports,B-8927,2024-08-07,2025-08-07
CAR724,Nissan,Sedan,F-1133,2024-09-08,2025-09-08
CAR109,Nissan,Compact,C-6479,2023-03-20,2024-03-19
CAR611,Honda,Compact,F-7744,2024-01-31,2025-01-30
CAR807,Audi,Sports,A-7691,2024-07-12,2025-07-12
CAR270,BMW,Sedan,C-8963,2024-07-08,2025-07-08
CAR937,BMW,Compact,F-5182,2023-07-14,2024-07-13
CAR359,Toyota,Compact,E-8908,2023-01-29,2024-01-29
CAR286,BMW,Sedan,D-1299,2023-08-26,2024-08-25
CAR326,Nissan,SUV,A-2148,2023-08-30,2024-08-29
CAR524,Audi,Sports,B-3944,2023-10-02,2024-10-01
CAR414,Nissan,Sports,B-7017,2023-01-05,2024-01-05
CAR777,BMW,Sports,B-6289,2023-01-21,2024-01-21
CAR594,BMW,Luxury,D-9941,2022-12-29,2023-12-29
CAR846,Audi,Sports,B-2746,2024-01-10,2025-01-09
CAR140,Nissan,Sports,B-6507,2024-08-12,2025-08-12
CAR448,Nissan,Luxury,E-3111,2023-03-28,2024-03-27
CAR491,Toyota,Luxury,C-1262,2024-02-11,2025-02-10
CAR260,Honda,SUV,C-4057,2024-05-15,2025-05-15
CAR497,Toyota,Sedan,B-2625,2022-11-29,2023-11-29
CAR107,Mercedes,Luxury,A-5209,2024-02-05,2025-02-04
CAR675,Honda,Compact,C-1367,2023-06-30,2024-06-29
CAR479,Mercedes,SUV,F-7902,2023-03-21,2024-03-20
CAR735,Honda,Sedan,D-4102,2023-12-28,2024-12-27
CAR673,Toyota,Luxury,D-9359,2024-09-19,2025-09-19
CAR115,Audi,Sports,E-3539,2024-08-01,2025-08-01
CAR714,Mercedes,Sedan,F-2661,2022-11-13,2023-11-13
CAR301,Toyota,Sports,F-5396,2023-01-29,2024-01-29
CAR418,Mercedes,Compact,E-9959,2023-05-29,2024-05-28
CAR992,Nissan,SUV,F-1419,2024-09-02,2025-09-02
CAR325,Nissan,Compact,C-8310,2023-07-01,2024-06-30
CAR267,Nissan,SUV,B-8632,2023-03-27,2024-03-26
CAR477,Audi,Sedan,B-9907,2023-03-19,2024-03-18
CAR500,Toyota,SUV,A-1339,2024-06-06,2025-06-06
CAR251,Toyota,Sedan,D-4339,2023-08-23,2024-08-22
CAR176,Audi,SUV,F-8113,2024-08-29,2025-08-29
CAR617,Toyota,Compact,D-3772,2023-08-25,2024-08-24
CAR481,Nissan,Sports,C-3946,2024-07-05,2025-07-05
CAR175,BMW,Sedan,D-9046,2023-09-16,2024-09-15
CAR222,BMW,SUV,F-5812,2023-08-16,2024-08-15
CAR956,Toyota,SUV,C-5033,2024-07-02,2025-07-02
CAR102,Honda,Sports,F-8351,2024-01-30,2025-01-29
CAR161,Honda,Compact,D-9074,2023-03-06,2024-03-05
CAR612,BMW,Sports,F-6610,2023-07-01,2024-06-30
CAR856,Audi,Luxury,A-2267,2024-06-13,2025-06-13
CAR190,Nissan,Luxury,A-5818,2023-11-11,2024-11-10
CAR987,Audi,Sports,D-9711,2023-04-22,2024-04-21
