CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR886,Honda,Compact,C-7240,2023-04-23,2024-04-22
CAR302,Audi,SUV,A-9617,2024-09-28,2025-09-28
CAR605,Mercedes,Sedan,E-5368,2023-08-13,2024-08-12
CAR556,BMW,Compact,A-5453,2023-04-01,2024-03-31
CAR539,Toyota,Luxury,F-5276,2024-09-04,2025-09-04
CAR177,Mercedes,Luxury,A-2681,2023-05-03,2024-05-02
CAR767,BMW,Compact,F-9994,2023-08-09,2024-08-08
CAR509,Mercedes,SUV,D-3082,2024-11-01,2025-11-01
CAR635,Honda,Luxury,B-4931,2022-12-14,2023-12-14
CAR426,Toyota,Luxury,B-3417,2024-06-07,2025-06-07
CAR442,Mercedes,Luxury,C-3552,2024-10-03,2025-10-03
CAR391,Honda,Sedan,F-1040,2024-06-02,2025-06-02
CAR197,Audi,SUV,F-8171,2024-07-13,2025-07-13
CAR220,Audi,Sports,C-7461,2023-09-15,2024-09-14
CAR109,Honda,SUV,C-2287,2023-08-21,2024-08-20
CAR385,Toyota,Sedan,E-3388,2024-09-04,2025-09-04
CAR708,BMW,Sedan,F-8648,2023-03-24,2024-03-23
CAR680,BMW,Compact,A-2644,2023-02-09,2024-02-09
CAR560,Audi,Sedan,F-7251,2023-05-17,2024-05-16
CAR107,Toyota,Luxury,D-2870,2024-10-11,2025-10-11
CAR386,Nissan,Sports,D-9108,2024-07-21,2025-07-21
CAR684,Nissan,Sedan,A-8540,2023-10-13,2024-10-12
CAR604,Toyota,SUV,E-1592,2024-10-01,2025-10-01
CAR250,Honda,Sedan,C-8316,2024-01-31,2025-01-30
CAR294,Nissan,Sports,A-5435,2023-07-27,2024-07-26
CAR815,Audi,Luxury,A-5816,2023-01-03,2024-01-03
CAR742,Audi,Luxury,C-9849,2023-10-14,2024-10-13
CAR667,Toyota,Sports,D-2118,2023-10-03,2024-10-02
CAR448,Nissan,Sedan,F-4695,2022-12-12,2023-12-12
CAR851,BMW,Sedan,A-3347,2024-04-02,2025-04-02
CAR198,Toyota,SUV,D-6597,2023-08-17,2024-08-16
CAR589,Mercedes,Luxury,A-9515,2023-01-02,2024-01-02
CAR435,Mercedes,SUV,E-3855,2024-02-25,2025-02-24
CAR285,Mercedes,Sports,C-3142,2024-02-09,2025-02-08
CAR184,Toyota,Sedan,B-8024,2024-02-13,2025-02-12
CAR121,Nissan,Sports,C-4697,2024-08-16,2025-08-16
CAR297,Mercedes,Sports,D-9951,2023-04-02,2024-04-01
CAR323,BMW,SUV,B-3740,2024-10-05,2025-10-05
CAR623,Audi,Sports,B-5903,2024-03-13,2025-03-13
CAR844,BMW,SUV,B-2462,2023-03-26,2024-03-25
CAR212,Mercedes,Sedan,C-2878,2024-09-17,2025-09-17
CAR714,Mercedes,Sports,D-3292,2023-05-12,2024-05-11
CAR105,Audi,Luxury,E-7086,2023-07-31,2024-07-30
CAR242,Honda,SUV,B-6293,2023-10-27,2024-10-26
CAR442,Mercedes,Sports,E-6239,2023-06-13,2024-06-12
CAR556,Audi,Compact,E-2159,2023-05-09,2024-05-08
CAR874,Honda,Sedan,A-7762,2024-10-31,2025-10-31
CAR493,Toyota,Compact,B-1002,2023-01-17,2024-01-17
CAR989,BMW,SUV,C-1463,2023-09-03,2024-09-02
CAR823,Toyota,Compact,C-1634,2023-10-01,2024-09-30
CAR173,Nissan,SUV,E-8372,2023-09-25,2024-09-24
CAR933,Mercedes,Sports,F-5937,2024-01-28,2025-01-27
CAR323,Honda,Sports,F-8998,2023-01-26,2024-01-26
CAR136,Honda,Sports,D-7862,2023-12-23,2024-12-22
CAR831,Nissan,Sports,F-9257,2024-08-12,2025-08-12
CAR289,Toyota,Sedan,C-8724,2024-10-26,2025-10-26
CAR442,BMW,Luxury,F-4594,2024-11-05,2025-11-05
CAR228,Audi,Sports,C-5937,2024-01-20,2025-01-19
CAR552,BMW,Sedan,A-9468,2024-10-20,2025-10-20
CAR739,Toyota,SUV,A-7874,2024-05-15,2025-05-15
CAR605,Nissan,Luxury,C-9408,2024-03-12,2025-03-12
CAR543,Nissan,SUV,C-4938,2024-03-15,2025-03-15
CAR343,Mercedes,SUV,D-4669,2024-07-22,2025-07-22
CAR172,Honda,SUV,B-6690,2023-09-12,2024-09-11
CAR663,Audi,SUV,B-8032,2024-09-01,2025-09-01
CAR498,Mercedes,SUV,E-9745,2023-03-15,2024-03-14
CAR987,Honda,Compact,C-2738,2023-08-14,2024-08-13
CAR139,Mercedes,Luxury,E-8886,2022-11-12,2023-11-12
CAR657,Mercedes,Luxury,C-7084,2023-05-20,2024-05-19
CAR548,BMW,Luxury,E-2453,2023-05-22,2024-05-21
CAR136,Honda,SUV,E-5307,2023-08-16,2024-08-15
CAR802,Nissan,SUV,E-8442,2023-09-14,2024-09-13
CAR430,BMW,Luxury,F-7595,2024-05-16,2025-05-16
CAR573,BMW,Sports,D-5965,2024-05-11,2025-05-11
CAR208,Nissan,Compact,A-3607,2024-06-20,2025-06-20
CAR814,BMW,Compact,A-7619,2023-01-09,2024-01-09
CAR840,Nissan,Sedan,C-8753,2023-08-23,2024-08-22
CAR124,Honda,Compact,C-7567,2024-07-06,2025-07-06
CAR187,Audi,Sedan,A-6364,2024-05-21,2025-05-21
CAR965,Mercedes,Sports,F-4935,2023-10-23,2024-10-22
CAR423,Audi,Sedan,A-5550,2023-04-23,2024-04-22
CAR138,Mercedes,Sedan,B-5420,2024-05-26,2025-05-26
CAR974,BMW,Luxury,B-1001,2023-05-19,2024-05-18
CAR910,BMW,SUV,D-3130,2023-08-29,2024-08-28
CAR229,Nissan,SUV,B-4346,2024-08-12,2025-08-12
CAR659,Nissan,Sedan,B-9349,2024-04-28,2025-04-28
CAR550,Audi,Compact,F-6906,2023-01-16,2024-01-16
CAR944,Honda,Sedan,C-4154,2023-05-21,2024-05-20
CAR405,Honda,Sedan,B-4349,2022-12-31,2023-12-31
CAR760,Audi,SUV,D-5326,2023-10-04,2024-10-03
CAR104,Toyota,Luxury,F-1783,2023-05-29,2024-05-28
CAR994,Toyota,Sedan,A-6966,2023-06-13,2024-06-12
CAR671,Mercedes,Luxury,E-5678,2024-03-28,2025-03-28
CAR569,Toyota,SUV,B-6341,2023-01-13,2024-01-13
CAR607,Mercedes,Luxury,E-8757,2023-03-13,2024-03-12
CAR437,Nissan,Compact,E-7929,2023-11-03,2024-11-02
CAR768,Nissan,Sedan,D-3376,2024-06-11,2025-06-11
CAR446,Toyota,Sports,A-9357,2024-05-07,2025-05-07
CAR234,Toyota,Sports,B-8900,2023-02-11,2024-02-11
CAR391,Honda,SUV,B-6026,2024-03-14,2025-03-14
CAR442,Audi,SUV,B-8666,2024-06-12,2025-06-12
CAR558,Honda,Compact,C-2523,2022-12-24,2023-12-24
CAR822,Nissan,Compact,F-1972,2023-10-27,2024-10-26
CAR320,Honda,Sedan,C-2368,2024-04-09,2025-04-09
CAR829,Nissan,Sedan,A-6530,2023-01-23,2024-01-23
CAR119,Honda,SUV,A-2632,2023-12-25,2024-12-24
CAR676,Audi,Sedan,F-7117,2023-01-31,2024-01-31
CAR809,Toyota,Sports,D-5753,2024-09-11,2025-09-11
CAR843,Mercedes,SUV,C-4209,2023-09-06,2024-09-05
CAR221,Mercedes,SUV,F-8555,2024-11-02,2025-11-02
CAR258,Nissan,Sports,D-5664,2023-08-10,2024-08-09
CAR485,Nissan,SUV,D-7244,2023-09-18,2024-09-17
CAR333,Mercedes,Compact,E-9845,2023-05-05,2024-05-04
CAR103,Honda,SUV,F-4155,2024-03-10,2025-03-10
CAR968,Nissan,Compact,C-3155,2023-03-11,2024-03-10
CAR468,Honda,Compact,E-6673,2023-02-26,2024-02-26
CAR829,BMW,Sedan,D-1690,2023-02-27,2024-02-27
CAR907,BMW,Sports,D-1338,2023-08-24,2024-08-23
CAR971,Audi,SUV,F-8278,2024-05-19,2025-05-19
CAR162,Nissan,Compact,E-9852,2023-05-17,2024-05-16
CAR170,Mercedes,Sports,E-1380,2023-10-31,2024-10-30
CAR345,Honda,Compact,A-8129,2023-07-12,2024-07-11
